FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
光华大道三段江浦路288号,洲际亚洲湾,http://cd.fang.lianjia.com/loupan/p_zjyzwaacqm/, 6200
三峨街999号,博客小镇,http://cd.fang.lianjia.com/loupan/p_bkxzaaqsv/, 4127
麓山大道二段（成都实验外国语西区旁）,滨江和城,http://cd.fang.lianjia.com/loupan/p_bjhcaaqyh/, 7100
南湖风景区南岸河滨路中段（二江寺水文化主题游园旁）,天府美岸,http://cd.fang.lianjia.com/loupan/p_tfmaaakxl/, 12500
温江区光华大道三段399号,湟普国际,http://cd.fang.lianjia.com/loupan/p_hpgjaafmi/, 8718
天府大道中段500号,东方希望天祥广场,http://cd.fang.lianjia.com/loupan/p_dfxwtxgcaawhp/, 15000
天府花城968号（国色天乡乐园向东300米）,财富中央城,http://cd.fang.lianjia.com/loupan/p_cfzycaalvi/, 4300
科锦路355号（川农大旁）,锦汇城,http://cd.fang.lianjia.com/loupan/p_jhcaaljp/, 4300
成龙大道与龙城大道交汇处云立方,云立方,http://cd.fang.lianjia.com/loupan/p_ylfaalep/, 6300
华阳街道一心村二、五组，鹤林村四组,德商御府天骄,http://cd.fang.lianjia.com/loupan/p_dsyftjaateb/, 14467
天府路88号,润扬双铁广场,http://cd.fang.lianjia.com/loupan/p_rystgcaabbo/, 8300
红牌楼北街东侧与二环路交汇处（近丽都花园）,营盛双子座,http://cd.fang.lianjia.com/loupan/p_ysszzaarxj/, 12249
成华东中环二仙桥北一路,泰博理想城,http://cd.fang.lianjia.com/loupan/p_tblxcaakme/, 9400
长顺大道一段（长顺家园旁）,格林城,http://cd.fang.lianjia.com/loupan/p_glcaaeep/, 10500
中铁产业园旁（九道堰北站附近）,碧桂园城市花园,http://cd.fang.lianjia.com/loupan/p_bgycshyaalzh/, 7400
麓山大道二段,麓岭汇,http://cd.fang.lianjia.com/loupan/p_llhaakss/, 18000
地铁二号线书房站（龙工北路）,新城吾悦广场,http://cd.fang.lianjia.com/loupan/p_xcwygcaanqk/, 6700
青龙场致强路266号（熊猫大道北富森旁）,蓝光金悦府,http://cd.fang.lianjia.com/loupan/p_lgjyfkpaaesr/, 9873
犀浦镇万福新街45号,朗基少帅府,http://cd.fang.lianjia.com/loupan/p_ljssfaauqc/, 8175
太平碑路100号,蓝光花满庭三期,http://cd.fang.lianjia.com/loupan/p_lghmtsqaaqtz/, 5800
观庄路88号,万科第五城,http://cd.fang.lianjia.com/loupan/p_wkdwcaaqyf/, 8000
万福一路西（成灌快铁犀浦东站旁）,天璟荟,http://cd.fang.lianjia.com/loupan/p_tjhaawke/, 8000
益州大道和天府五街交汇处,融创Nano公馆,http://cd.fang.lianjia.com/loupan/p_rcnggaavkk/, 15000
西·老成灌路与南北大道交汇处...,华宇天府花城,http://cd.fang.lianjia.com/loupan/p_hytfhcaafmy/, 5350
金融城交子大道（天府国际金融中心旁）,中国华商金融中心,http://cd.fang.lianjia.com/loupan/p_zghsjrzxaaxem/, 30000
新泰东路144号（石油大学大转盘旁）,汇景新城,http://cd.fang.lianjia.com/loupan/p_hjxcaalju/, 5000
西河镇成洛大道（华新职业学院旁）,昊园江南壹品,http://cd.fang.lianjia.com/loupan/p_hyjnypaabst/, 5250
西航港锦华路二段,温资金港华府,http://cd.fang.lianjia.com/loupan/p_zjghfaatjq/, 6500
龙华大道256号,龙腾东麓城,http://cd.fang.lianjia.com/loupan/p_ltdlcaabdd/, 4750
新都蜀龙大道三河场段（保利公园198旁）,莱茵北郡,http://cd.fang.lianjia.com/loupan/p_lybjaaarx/, 4900
大面街道车城西三路以西、经开区南一路以南(川师成龙校区旁）,保利紫薇花语,http://cd.fang.lianjia.com/loupan/p_blzwhyaacua/, 6500
正通路(社保局对面),金座威尼谷,http://cd.fang.lianjia.com/loupan/p_jzwngaabue/, 6800
红光镇幸福路北一段（思源学校对面）,公园1号,http://cd.fang.lianjia.com/loupan/p_gyaaljs/, 6000
温江海科路99号（成都师范学院旁）,明信仕林府,http://cd.fang.lianjia.com/loupan/p_mxcslfaaljm/, 5450
金泉街道高家社区2组（金科路小学旁）,华宇西城雅郡,http://cd.fang.lianjia.com/loupan/p_hyxcyjaacuo/, 9000
